year,place,days,gross,On-site,telephone,Off-site
2022,桐生,188,134887252700,4926607700,106117355100,23843289900
2022,戸田,198,92670454000,10964578500,61316483900,20389391600
2022,江戸川,180,73956243400,6618870700,53910686300,13426686400
2022,平和島,180,84178116100,7720213400,58674201300,17783701400
2022,多摩川,192,79544500000,7029724100,56848533400,15666242500
2022,浜名湖,205,85144559400,6890334300,61501566300,16752658800
2022,蒲郡,192,149360476200,5776035200,119312569000,24271872000
2022,常滑,200,69535015100,4875812600,51236354300,13422848200
2022,津,180,56510583600,3182042300,42444109800,10884431500
2022,三国,180,73731012300,2812905000,59012879000,11905228300
2022,琵琶湖,186,69349105900,3402008000,52487476100,13459621800
2022,住之江,198,167899013300,9026803400,128649613800,30222596100
2022,尼崎,186,85543383700,5320013100,63084796900,17138573700
2022,鳴門,186,80930335000,2783973900,65482325500,12664035600
2022,丸亀,192,144953416600,2735126500,117313309500,24904980600
2022,児島,198,78887590000,3982740000,59023616300,15881233700
2022,宮島,201,89156994200,3007232900,69776948300,16372813000
2022,徳山,198,84437826800,1713206300,70268374600,12456245900
2022,下関,186,136453429800,1444867900,112635225100,22373336800
2022,若松,192,141834334800,2696874800,116075176500,23062283500
2022,芦屋,192,88738638200,2893277000,72553696000,13291665200
2022,福岡,192,70768514600,7247490100,50808223400,12712801100
2022,唐津,198,95053078800,1685978700,77155013800,16212086300
2022,大村,200,180723017300,2699290300,149765007800,28258719200
2000,桐生,180,59059239300,44015343800,9439050600,5604844900
2000,戸田,180,95673877700,69672483600,9442610100,16558784000
2000,江戸川,177,43525392600,39193388700,4332003900,0
2000,平和島,180,102584950500,70218853800,9764950100,22601146600
2000,多摩川,180,66681527600,48459609500,6830068200,11391849900
2000,浜名湖,180,59966341200,39380148200,7721152300,12865040700
2000,蒲郡,180,87105938100,49457462100,13799874400,23848601600
2000,常滑,180,42167302200,32531962100,6266190400,3369149700
2000,津,180,34110409600,25933773900,6409636800,1766998900
2000,三国,180,33011248200,26429611700,5810972500,770664000
2000,琵琶湖,156,27503531300,21791853800,5711677500,0
2000,住之江,180,137192163000,84216477500,14497751500,38477934000
2000,尼崎,180,109981123700,63558605000,12100709500,34321809200
2000,鳴門,180,34192429200,25730656800,4120348200,4341424200
2000,丸亀,180,41855608900,27710052500,4870164700,9275391700
2000,児島,180,36792970500,30329312300,3178499700,3285158500
2000,宮島,180,52356721200,25704240000,6829526300,19822954900
2000,徳山,180,31697428900,17470949000,4951515100,9274964800
2000,下関,180,41235517100,18701949400,6298425100,16235142600
2000,若松,180,50405735400,26247281800,6984895000,17173558600
2000,芦屋,156,34338355200,22663841900,3422799500,8251713800
2000,福岡,180,59232210200,55126966000,4105244200,0
2000,唐津,180,29585335100,19576245100,3887294800,6121795200
2000,大村,180,24529961700,19273540700,4667215700,589205300
2001,桐生,145,39708291800,30166789800,6840579100,2700922900
2001,戸田,180,78676316800,67658432100,6545223300,4472661400
2001,江戸川,180,44050859400,39939842300,4111017100,0
2001,平和島,180,100440328900,71700471200,10759191100,17980666600
2001,多摩川,180,84004785900,50275527300,9887804600,23841454000
2001,浜名湖,180,65142620000,38653101400,7677899900,18811618700
2001,蒲郡,180,61264183400,43515524300,11236164700,6512494400
2001,常滑,180,59217337300,33632655700,8474001400,17110680200
2001,津,180,37715696500,21660526200,5696805600,10358364700
2001,三国,180,28908095600,23517173500,5061885400,329036700
2001,琵琶湖,156,26675397500,22775163400,3817119400,83114700
2001,住之江,180,153398016300,84961663000,21608555100,46827798200
2001,尼崎,180,114191961200,69761890100,15027328400,29402742700
2001,鳴門,180,32807006800,24978551200,3414052100,4414403500
2001,丸亀,180,35209826200,23461335500,2509515700,9238975000
2001,児島,180,59452636700,34560399000,6862155800,18030081900
2001,宮島,180,23594882900,20105790100,2244921000,1244171800
2001,徳山,180,34973711000,15974887500,4715813600,14283009900
2001,下関,180,24183285100,17782698400,3667844600,2732742100
2001,若松,180,26397196600,22925135200,2605157700,866903700
2001,芦屋,156,32966379500,20699695900,3590154100,8676529500
2001,福岡,180,54032536000,49144413600,4549159500,338962900
2001,唐津,180,41852081400,17125681000,5617779000,19108621400
2001,大村,180,22305507900,18959811400,2646445600,699250900
2002,桐生,180,36783489500,28296796900,5580553600,2906139000
2002,戸田,180,91712259000,58900843800,8612505200,24198910000
2002,江戸川,180,43811526600,34909099600,4814904300,4087522700
2002,平和島,180,91957538000,60969152600,8741152400,22247233000
2002,多摩川,180,59083169500,43599965800,6165953300,9317250400
2002,浜名湖,180,44383080200,33138320400,7004030200,4240729600
2002,蒲郡,192,79153469900,40965543200,14485813000,23702113700
2002,常滑,186,37419383800,28414783500,5696165800,3308434500
2002,津,180,45097104900,21175711900,8022014400,15899378600
2002,三国,180,26813867300,20848933200,4689377600,1275556500
2002,琵琶湖,156,28459200500,21831087300,5256605300,1371507900
2002,住之江,180,136063270000,73715440500,16225167100,46122662400
2002,尼崎,180,110665263600,61919477800,13448018100,35297767700
2002,鳴門,180,28790758700,21270515800,3247445800,4272797100
2002,丸亀,180,42523183600,21274422600,4351466600,16897294400
2002,児島,180,36486996000,28052044700,3730009800,4704941500
2002,宮島,180,42269766900,20440184000,5217087600,16612495300
2002,徳山,180,23736032600,13368772200,3056702000,7310558400
2002,下関,180,18886606600,13938634100,2561983500,2385989000
2002,若松,180,46778031000,22264745000,6458119000,18055167000
2002,芦屋,156,36102924800,16523931000,4317484200,15261509600
2002,福岡,180,47416736600,43294266700,3822997800,299472100
2002,唐津,180,23495577400,15089387700,2889255000,5516934700
2002,大村,180,21207035100,16936996900,3505065000,764973200
2003,桐生,180,36665166000,23830003900,7601738200,5233423900
2003,戸田,180,83579383100,52647531400,8470756900,22461094800
2003,江戸川,180,36113777500,29624314600,4514834700,1974628200
2003,平和島,180,81619747600,50432046800,9270938000,21916762800
2003,多摩川,180,64723084000,39146063300,7677049800,17899970900
2003,浜名湖,192,41176490400,29398248400,6831644600,4946597400
2003,蒲郡,186,71869283200,34258630400,15573229300,22037423500
2003,常滑,192,34624629700,25611919100,5771297600,3241413000
2003,津,180,22378945800,17830816600,3561272500,986856700
2003,三国,180,23610853700,16916875900,4989567000,1704410800
2003,琵琶湖,156,36696933600,18065213900,6495424200,12136295500
2003,住之江,180,113901826600,62311537800,14065121500,37525167300
2003,尼崎,180,88392636700,51914280000,11236577700,25241779000
2003,鳴門,180,25176241900,18093639300,3084861800,3997740800
2003,丸亀,180,48227765500,18975187200,5610181700,23642396600
2003,児島,180,30425607200,23300733400,2871416800,4253457000
2003,宮島,180,24039379000,17462550800,3833567400,2743260800
2003,徳山,180,31112355300,11377649900,3997032000,15737673400
2003,下関,180,19163615200,12519002200,3418058200,3226554800
2003,若松,180,21360857200,16605225600,2854856000,1900775600
2003,芦屋,156,27981924100,15706026800,4124177000,8151720300
2003,福岡,180,54653476200,37576002600,5536949200,11540524400
2003,唐津,180,39927544000,14132089800,6532582300,19262871900
2003,大村,180,17711331400,13527373000,2903366000,1280592400
2004,桐生,180,34353488100,21511633000,7486252900,5355602200
2004,戸田,180,64613857400,45362805800,5816314800,13434736800
2004,江戸川,180,32629891500,25372476400,3798426000,3458989100
2004,平和島,180,54181499300,41971748000,5819583300,6390168000
2004,多摩川,180,57656116900,32666038000,6967979300,18022099600
2004,浜名湖,198,54597010600,26075206800,8030363700,20491440100
2004,蒲郡,192,65011004700,30439407700,13286495300,21285101700
2004,常滑,186,30462894900,22364461100,4897415700,3201018100
2004,津,180,22194010500,16039996900,3874699300,2279314300
2004,三国,180,22251781300,14538619000,4558618000,3154544300
2004,琵琶湖,156,21227039300,14373379300,4642095700,2211564300
2004,住之江,180,107996972100,55009325000,13675749500,39311897600
2004,尼崎,180,85644310900,45614015000,11196348700,28833947200
2004,鳴門,180,24380123600,15533740400,3010605500,5835777700
2004,丸亀,180,24577942200,13946398200,2539421900,8092122100
2004,児島,180,41738052300,20041833900,4784062200,16912156200
2004,宮島,156,29623431000,12054818200,4426459800,13142153000
2004,徳山,156,17990476100,8732785400,2645571900,6612118800
2004,下関,180,18374577700,10204898000,3388244600,4781435100
2004,若松,180,45213770900,15996551400,10170298900,19046920600
2004,芦屋,156,21870665200,12437476700,3050487600,6382700900
2004,福岡,180,56789221600,35080441700,5978760300,15730019600
2004,唐津,180,23322656000,11857449800,4890859300,6574346900
2004,大村,180,27076312600,11422362200,4845993700,10807956700
2005,桐生,180,54941314500,20432090300,10922097400,23587126800
2005,戸田,180,64504249800,40478552300,6474330000,17551367500
2005,江戸川,180,32336579500,25543054200,4181514200,2612011100
2005,平和島,180,66429495900,39962874500,8574058300,17892563100
2005,多摩川,180,40669493400,28799930400,4750350800,7119212200
2005,浜名湖,198,46273317600,24811846000,6354072000,15107399600
2005,蒲郡,186,55367329900,26334074200,16187973200,12845282500
2005,常滑,186,46523223000,21592893500,6825180200,18105149300
2005,津,180,34095561800,14811196600,5420107300,13864257900
2005,三国,180,22195812400,13485096400,5253833500,3456882500
2005,琵琶湖,156,18066511900,12760733100,4014676600,1291102200
2005,住之江,180,102553112400,52717928000,14679695300,35155489100
2005,尼崎,180,65164691800,40892815300,9328663100,14943213400
2005,鳴門,180,23054985100,13693677000,3342351000,6018957100
2005,丸亀,180,25909836500,13357620400,3380136300,9172079800
2005,児島,180,25260598100,17360759400,3339016100,4560822600
2005,宮島,156,18689781600,10559394100,3425667400,4704720100
2005,徳山,156,13605875800,6977450600,2405488400,4222936800
2005,下関,180,33761290300,9520673800,5732752700,18507863800
2005,若松,180,56393123900,15418321900,16284599600,24690202400
2005,芦屋,156,38301404300,12726789000,5735233200,19839382100
2005,福岡,180,36695084700,30844353000,3657009300,2193722400
2005,唐津,180,28371787100,10028077400,5320558900,13023150800
2005,大村,180,25173633300,12023285200,5944176400,7206171700
2006,桐生,180,54698257800,18017569500,13794653600,22886034700
2006,戸田,180,69282788900,38317443100,8165906400,22799439400
2006,江戸川,180,33823632000,23138131900,5864932700,4820567400
2006,平和島,180,65090047900,36917564400,8882715800,19289767700
2006,多摩川,180,44051594200,26234803100,6245024200,11571766900
2006,浜名湖,200,56008527600,23545395700,9018781800,23444350100
2006,蒲郡,180,63142000000,23092053100,22374048700,17675898200
2006,常滑,180,27520192200,17148695500,4417271000,5954225700
2006,津,180,19849972300,13159665600,3951730500,2738576200
2006,三国,180,21552470200,12351438000,5762923600,3438108600
2006,琵琶湖,156,23364429500,12032546500,5316491400,6015391600
2006,住之江,180,101897149200,49503684900,16633322300,35760142000
2006,尼崎,180,67732952100,36345910500,9855791200,21531250400
2006,鳴門,180,23989335200,12687076000,3889916300,7412342900
2006,丸亀,180,36397477600,12919808300,5972977400,17504691900
2006,児島,180,24222892400,15398343900,3425184800,5399363700
2006,宮島,156,20096447100,9486111400,3881367100,6728968600
2006,徳山,156,21207947400,6181269400,4293005600,10733672400
2006,下関,180,15533038800,8041081100,3487026200,4004931500
2006,若松,180,55021527800,13880299800,18534773700,22606454300
2006,芦屋,156,25391316600,11167141500,4226759100,9997416000
2006,福岡,180,50294954800,29656839100,6393642400,14244473300
2006,唐津,180,19354344000,8978796400,4273216700,6102330900
2006,大村,156,30863521600,9758394600,7448680300,13656446700
2007,桐生,180,56673727100,15846093100,14571676300,26255957700
2007,戸田,180,67858061500,35117064600,8857266800,23883730100
2007,江戸川,168,31558482300,19269161300,6042890500,6246430500
2007,平和島,180,66273202500,32188097100,10224417200,23860688200
2007,多摩川,180,38719950800,23122309000,6125606300,9472035500
2007,浜名湖,200,48656943400,21477449800,8715161400,18464332200
2007,蒲郡,186,91874853400,22554555100,30494141300,38826157000
2007,常滑,180,30433856000,14980401800,5723919700,9729534500
2007,津,180,29574996300,12531830000,5776288900,11266877400
2007,三国,180,26485548500,11698528400,6842440900,7944579200
2007,琵琶湖,156,24693188400,9468711100,5737988800,9486488500
2007,住之江,180,100133939900,35617094500,19112291600,45404553800
2007,尼崎,180,62456328700,25256177300,11191016600,26009134800
2007,鳴門,180,22710341500,10638172700,4035434100,8036734700
2007,丸亀,180,32032608400,10974418000,5855058300,15203132100
2007,児島,180,37169977300,15521726400,6200167800,15448083100
2007,宮島,156,20335491700,8321108400,4101753500,7912629800
2007,徳山,156,12225502800,5444689200,2785792700,3995020900
2007,下関,180,14630193400,7004470400,3958178100,3667544900
2007,若松,180,58371667400,13643717900,21975559500,22752390000
2007,芦屋,156,26092980800,10536436100,5038260500,10518284200
2007,福岡,180,53084477500,27240670200,8253228000,17590579300
2007,唐津,180,20924034000,8455861200,5049910300,7418262500
2007,大村,180,34543544200,10740929200,9246282000,14556333000
2008,桐生,186,46762032700,14005662500,14508381300,18247988900
2008,戸田,180,55546847800,30416452200,8181929100,16948466500
2008,江戸川,,,,,
2008,平和島,180,64086755800,26296668400,11724289300,26065798100
2008,多摩川,186,50194159200,21096138600,9063338700,20034681900
2008,浜名湖,206,46340796100,18785306200,9693322800,17862167100
2008,蒲郡,192,100577008200,20724000900,34911428600,44941578700
2008,常滑,186,27061090800,13456273300,5481181000,8123636500
2008,津,186,29003801500,11564522700,6778912800,10660366000
2008,三国,180,25435224300,10285570800,6771930300,8377723200
2008,琵琶湖,156,29408780000,8277718800,6991613900,14139447300
2008,住之江,186,95195273900,29290466700,21726342900,44178464300
2008,尼崎,186,57217039300,20617478100,10830587600,25768973600
2008,鳴門,180,23251851900,9339091500,4918816700,8993943700
2008,丸亀,186,35218151800,9952002500,7516762400,17749386900
2008,児島,180,22907322800,13418850700,4662516800,4825955300
2008,宮島,156,24646635300,7386062700,4983813400,12276759200
2008,徳山,162,15906864400,5481902400,4275797500,6149164500
2008,下関,186,21124854200,7134309400,5912137800,8078407000
2008,若松,186,78013569500,12375334200,30980220400,34658014900
2008,芦屋,156,37336391900,9885090300,7964709700,19486591900
2008,福岡,180,30485882800,21251464700,5016771500,4217646600
2008,唐津,186,24223628200,7101617000,5944548700,11177462500
2008,大村,186,37262119900,9937441700,12895728900,14428949300
2009,桐生,180,47318711700,12432574400,15951107100,18935030200
2009,戸田,186,59127838200,28722132300,9327970600,21077735300
2009,江戸川,168,27670593100,13402687900,5752204500,8515700700
2009,平和島,180,51471338600,21467039400,9759120600,20245178600
2009,多摩川,180,32369225300,17216769500,6036793300,9115662500
2009,浜名湖,206,41829332000,16396127700,9378552800,16054651500
2009,蒲郡,192,69422163900,15966484600,26196420500,27259258800
2009,常滑,186,36291201800,12035549100,8632523800,15623128900
2009,津,180,21412471800,9451798500,5665395300,6295278000
2009,三国,180,22706436100,9201993300,6659395300,6845047500
2009,琵琶湖,156,21188756500,7174956700,6064872700,7948927100
2009,住之江,180,80432112400,24467186200,19340187700,36624738500
